SalePrice,LotArea,GarageArea,GrLivArea,LotFrontage
290000,10182,500,1660,85.0
189000,11218,462,1845,70.0
164000,12134,492,1752,152.0
113000,9340,234,672,50.0
134500,10205,300,999,69.0
125000,7094,384,894,99.0
112000,8930,539,1902,68.0
229456,8640,552,1314,72.0
115000,7800,288,912,66.0
134000,8250,322,1211,55.0
143000,10496,315,1846,78.0
137900,10680,528,2136,89.0
184000,15384,388,1490,60.0
145000,10482,264,1138,65.0
214000,14598,668,1933,86.0
147000,8872,576,912,72.0
367294,8769,1052,1702,65.0
127000,7910,404,1507,70.0
132500,7728,540,1190,70.0
101800,9842,462,1224,70.0
138887,13132,180,1784,96.0
175500,2628,474,1626,36.0
195000,12393,434,1948,41.0
142500,13072,484,1141,63.0
265900,9037,472,1484,64.0
224900,8158,543,1768,65.0
248328,9849,954,1689,83.0
170000,10625,528,1173,85.0
465000,13891,850,2076,107.0
178000,12090,477,1868,78.0
186500,8125,615,1553,65.0
129500,9600,396,2058,60.0
119000,7200,276,988,60.0
244000,11160,522,2110,93.0
130000,9858,288,874,62.0
165400,6931,397,1656,60.0
127500,6240,560,1367,52.0
301500,14303,691,1987,91.0
190000,9587,400,1166,59.0
151000,9750,460,1054,65.0
128900,9600,338,1050,80.0
180500,13515,520,1824,60.0
181000,4060,511,1337,34.0
183900,3735,506,1452,35.0
122000,10120,308,1889,60.0
378500,13214,746,2018,89.0
144000,11344,315,1524,78.0
177000,11512,312,1357,124.0
139000,5362,552,1250,53.0
137000,11345,400,1920,95.0
237000,9473,577,2031,75.0
68400,7500,528,1128,60.0
227000,9808,544,1573,67.0
180000,8049,484,1339,50.0
150500,8800,484,1040,61.0
169000,9638,336,2447,50.0
132500,6000,280,1412,50.0
278000,5664,499,1659,40.0
281000,11065,753,1970,86.0
119500,1680,264,1302,21.0
107500,6600,432,2372,60.0
162900,10140,528,1664,78.0
115000,8172,572,864,60.0
138500,8400,288,1052,70.0
155000,8700,525,1128,80.0
140000,3675,525,1072,35.0
160000,63887,1418,5642,313.0
154000,7500,305,1246,75.0
290000,10120,844,2526,92.0
232000,8688,834,1616,73.0
130000,3363,380,1708,32.0
325000,13173,840,1652,108.0
202500,6955,474,1368,48.0
138000,8072,480,990,60.0
147000,12000,528,1122,100.0
335000,17500,567,1902,100.0
203000,8814,508,1274,68.0
333168,14774,779,2599,108.0
119000,8190,280,948,60.0
206900,11075,576,2112,85.0
295493,10226,860,1630,61.0
208900,4230,466,1352,47.0
111000,10215,248,948,75.0
156500,8400,442,1478,70.0
190000,10186,564,1923,107.0
147000,9986,895,1795,75.0
130500,6600,264,816,60.0
256000,10440,520,2792,60.0
176500,9084,462,1632,63.0
227000,10000,825,1588,85.0
132500,10780,576,954,55.0
100000,8877,288,816,67.0
125500,7200,297,1360,60.0
125000,2368,440,1365,24.0
167900,9650,630,1334,80.0
135000,9246,506,1656,87.0
200000,13450,492,1861,95.0
128500,9560,288,864,120.0
123000,8294,480,872,70.0
155000,13695,576,1114,66.0
177000,7558,342,1913,57.0
155835,11103,440,1456,85.0
108500,6000,308,960,50.0
283463,15306,712,1776,93.0
200000,11643,968,2634,91.0
171000,9247,490,1716,70.0
134900,6000,624,1176,50.0
410000,14720,666,3238,56.0
170000,10192,487,1920,102.0
315000,16737,770,1980,129.0
189000,9842,621,2601,51.0
260000,16158,430,1530,124.0
156932,8499,432,1412,73.0
144152,3180,480,1200,30.0
193000,9179,588,1790,68.0
127000,2665,336,1475,41.0
232000,10635,502,1668,48.0
105000,5400,338,1374,90.0
165500,9600,377,1661,80.0
274300,9750,583,2097,75.0
250000,10625,936,1958,85.0
239000,10991,722,1571,89.0
91000,6292,160,790,52.0
117000,10998,660,1604,60.0
83000,1953,264,987,21.0
167500,9735,400,1394,73.0
58500,8212,200,864,45.0
157000,7200,576,1762,60.0
105000,9060,280,1258,60.0
125500,5436,240,1154,40.0
250000,16692,564,2784,80.0
136000,8520,216,2526,60.0
377500,14892,758,1746,42.0
131000,6000,440,1218,60.0
235000,9100,541,1525,70.0
124000,8944,792,1584,65.0
123000,7838,288,900,68.0
163000,10800,672,1912,60.0
246578,4045,648,1500,53.0
281213,12665,642,2482,88.0
137500,6120,180,1513,51.0
138000,7200,240,1904,60.0
137450,6171,216,1608,51.0
120000,6000,208,1158,50.0
193000,7415,398,1593,62.0
193879,6762,662,1294,64.0
282922,15256,754,1464,49.0
105000,10410,936,1214,60.0
275000,3842,482,1646,44.0
133000,8445,396,768,70.0
125500,7740,528,1363,60.0
215000,20544,542,2093,46.0
230000,12420,622,1840,79.0
140000,9600,271,1668,80.0
90000,7200,420,1040,60.0
257000,10994,620,1844,88.0
207000,13053,370,1848,64.0
175900,3635,660,1569,51.0
122500,11340,560,2290,60.0
124000,9204,336,1144,71.0
179900,11700,776,1416,90.0
127500,4043,440,1069,53.0
136500,4435,420,848,37.0
142000,10721,528,1252,80.0
271000,10944,525,2127,81.0
140000,10930,288,1558,60.0
119000,7200,240,804,60.0
192140,21930,372,1838,60.0
64500,10800,216,968,60.0
186500,10261,451,1792,93.0
160000,17400,484,1126,80.0
174000,8400,462,1537,80.0
120500,9000,528,864,60.0
394617,12444,774,1932,96.0
149700,7407,923,1236,90.0
197000,11584,550,1725,80.0
191000,11526,672,2555,79.0
310000,11003,812,2007,85.0
179600,8500,626,1422,63.0
129000,8400,240,913,70.0
240000,10000,556,2090,80.0
112000,11767,384,1346,70.0
287090,9262,840,1578,78.0
145000,3675,525,1072,35.0
185000,7500,400,1221,62.0
175000,7917,460,1647,62.0
210000,13175,500,2073,85.0
266500,9042,252,2340,66.0
142125,9717,240,1078,68.0
147500,9937,276,1256,75.0
